ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
cjuy8inagc1v00799sw96qvxi,cjuy7urduxker0bqprccb6rcd,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuy2jbi7457y0888vpuwtjum%2Faeebb667-1cf4-edc1-a8c9-1a98cbf6099c-004418.png,"{""ethnicity"":""white"",""gender"":""male"",""age"":""old""}",eth260296@gmail.com,sosense_5,1556292745000,1556292745000,7.473,004418.png,,,,,clv_2_1,[],https://image-segmentation-v4.labelbox.com?project=cjuy2jmcm45i60888xc537cvb&label=cjuy8inagc1v00799sw96qvxi
cjuyxe6p5819a0878m3zt46ie,cjuy7urduxkev0bqp2hzgukhg,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuy2jbi7457y0888vpuwtjum%2Fbd014cc7-a137-6739-c4d7-3c3e995f616b-004419.png,Skip,eth260296@gmail.com,sosense_5,1556334527000,1556334527000,4.941,004419.png,,,,,clv_2_1,[],https://image-segmentation-v4.labelbox.com?project=cjuy2jmcm45i60888xc537cvb&label=cjuyxe6p5819a0878m3zt46ie
cjuyxefdh83mc092863awxs7r,cjuy7urduxkez0bqp9toprbiy,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuy2jbi7457y0888vpuwtjum%2F028a8d48-bccc-678c-22bb-7f520ed7e71c-004420.png,"{""ethnicity"":""white"",""gender"":""female"",""age"":""old""}",eth260296@gmail.com,sosense_5,1556334538000,1556334538000,10.629,004420.png,,,,,clv_2_1,[],https://image-segmentation-v4.labelbox.com?project=cjuy2jmcm45i60888xc537cvb&label=cjuyxefdh83mc092863awxs7r
cjuyxej4l83pb0928n4ckcl1y,cjuy7urduxkf30bqpva01ne6g,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuy2jbi7457y0888vpuwtjum%2Fb227a085-7ddb-7f39-94da-ea97b178b01d-004421.png,"{""ethnicity"":""white"",""gender"":""female"",""age"":""young""}",eth260296@gmail.com,sosense_5,1556334543000,1556334543000,4.539,004421.png,,,,,clv_2_1,[],https://image-segmentation-v4.labelbox.com?project=cjuy2jmcm45i60888xc537cvb&label=cjuyxej4l83pb0928n4ckcl1y
cjuyxencg83rf09281y8gwcts,cjuy7urduxkf70bqp69l8omv9,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuy2jbi7457y0888vpuwtjum%2F8aaeea52-bbdc-a8c3-917b-37d1c95ca02e-004428.png,"{""ethnicity"":""asian"",""gender"":""female"",""age"":""young""}",eth260296@gmail.com,sosense_5,1556334549000,1556334549000,3.698,004428.png,,,,,clv_2_1,[],https://image-segmentation-v4.labelbox.com?project=cjuy2jmcm45i60888xc537cvb&label=cjuyxencg83rf09281y8gwcts
cjuyxerb983t80928ws2xfve9,cjuy7urduxkfb0bqp2h8478kp,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuy2jbi7457y0888vpuwtjum%2F9cc06e25-0920-ef36-a14c-87ea71b1b391-004456.png,"{""ethnicity"":""white"",""gender"":""male"",""age"":""young""}",eth260296@gmail.com,sosense_5,1556334554000,1556334554000,4.809,004456.png,,,,,clv_2_1,[],https://image-segmentation-v4.labelbox.com?project=cjuy2jmcm45i60888xc537cvb&label=cjuyxerb983t80928ws2xfve9
cjuyxeue084940916r63n502n,cjuy7urduxkff0bqpa6vcdo1q,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuy2jbi7457y0888vpuwtjum%2Fe7823fce-8ea1-95f6-e75d-f3e534378333-004457.png,"{""ethnicity"":""white"",""gender"":""male"",""age"":""young""}",eth260296@gmail.com,sosense_5,1556334558000,1556334558000,3.417,004457.png,,,,,clv_2_1,[],https://image-segmentation-v4.labelbox.com?project=cjuy2jmcm45i60888xc537cvb&label=cjuyxeue084940916r63n502n
cjuyxexhf81nm0878lgal4lh6,cjuy7urduxkfj0bqpah2lsh11,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuy2jbi7457y0888vpuwtjum%2F9885e66e-fdcb-dca9-21d0-64a445691870-004458.png,"{""ethnicity"":""asian"",""gender"":""male"",""age"":""young""}",eth260296@gmail.com,sosense_5,1556334562000,1556334562000,3.688,004458.png,,,,,clv_2_1,[],https://image-segmentation-v4.labelbox.com?project=cjuy2jmcm45i60888xc537cvb&label=cjuyxexhf81nm0878lgal4lh6
cjuyxf0rj858w0776jhx4ch9s,cjuy7urduxkfn0bqpw7grofl8,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuy2jbi7457y0888vpuwtjum%2Fcf7ad4a4-6a97-47f6-7743-80bd51176904-004459.png,"{""ethnicity"":""white"",""gender"":""male"",""age"":""young""}",eth260296@gmail.com,sosense_5,1556334566000,1556334566000,3.665,004459.png,,,,,clv_2_1,[],https://image-segmentation-v4.labelbox.com?project=cjuy2jmcm45i60888xc537cvb&label=cjuyxf0rj858w0776jhx4ch9s
cjuyxf3xu81r20878iufk8s2d,cjuy7urduxkfr0bqpt00w1vbo,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuy2jbi7457y0888vpuwtjum%2F8cc39233-562c-8817-a1a7-bfa4f5fef764-004462.png,"{""ethnicity"":""asian"",""gender"":""male"",""age"":""young""}",eth260296@gmail.com,sosense_5,1556334570000,1556334570000,3.781,004462.png,,,,,clv_2_1,[],https://image-segmentation-v4.labelbox.com?project=cjuy2jmcm45i60888xc537cvb&label=cjuyxf3xu81r20878iufk8s2d
